"lower_uncert","upper_uncert"
0,0
0,0
0,0
0,2000
0,0
0,2000
0,2000
0,0
0,2000
0,0
0,2000
0,0
0,0
2000,5000
0,0
2000,5000
5000,10000
0,2000
0,2000
2000,5000
0,2000
0,2000
2000,5000
0,0
0,0
0,0
2000,5000
0,2000
0,2000
0,2000
2000,5000
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
2000,5000
0,0
0,2000
2000,5000
0,2000
2000,5000
0,0
2000,5000
0,2000
5000,10000
0,2000
0,2000
0,0
2000,5000
2000,5000
5000,10000
2000,5000
0,2000
0,2000
0,0
2000,5000
0,2000
0,0
0,0
5000,10000
0,2000
2000,5000
0,2000
0,0
2000,5000
2000,5000
0,0
0,2000
2000,5000
0,2000
0,2000
0,2000
0,2000
0,0
2000,5000
0,2000
0,0
0,2000
0,2000
0,2000
5000,10000
0,2000
5000,10000
0,2000
0,0
5000,10000
0,0
2000,5000
0,0
0,0
0,0
2000,5000
2000,5000
2000,5000
0,0
0,0
2000,5000
0,2000
0,2000
2000,5000
2000,5000
0,2000
0,0
0,0
0,2000
0,0
0,2000
0,0
0,2000
2000,5000
0,2000
0,2000
0,2000
0,2000
2000,5000
0,0
5000,10000
0,0
2000,5000
0,0
0,2000
2000,5000
0,0
0,0
0,0
0,0
0,2000
0,0
0,0
0,2000
0,2000
0,0
0,2000
0,2000
0,2000
5000,10000
2000,5000
2000,5000
5000,10000
0,2000
5000,10000
2000,5000
2000,5000
2000,5000
0,0
0,0
0,2000
0,0
0,2000
0,0
2000,5000
0,2000
0,0
0,2000
2000,5000
2000,5000
0,0
0,0
2000,5000
2000,5000
5000,10000
5000,10000
0,2000
0,0
2000,5000
0,0
2000,5000
0,0
0,0
0,0
0,0
0,2000
2000,5000
0,0
0,2000
0,0
0,0
0,2000
0,0
0,0
0,0
2000,5000
0,0
5000,10000
0,0
0,0
2000,5000
0,0
2000,5000
2000,5000
0,2000
0,0
2000,5000
2000,5000
0,0
2000,5000
0,2000
0,0
2000,5000
0,0
0,0
2000,5000
0,0
0,2000
0,2000
0,0
0,0
0,0
0,0
2000,5000
0,0
2000,5000
0,0
0,2000
0,0
2000,5000
0,0
0,2000
0,2000
0,2000
0,2000
0,0
0,0
2000,5000
2000,5000
0,0
0,2000
0,0
0,0
0,0
2000,5000
0,0
0,2000
0,2000
0,0
0,0
0,0
0,0
5000,10000
0,0
0,2000
0,2000
0,0
0,0
0,0
0,0
2000,5000
0,2000
0,0
0,0
0,0
2000,5000
0,2000
0,2000
0,2000
0,2000
2000,5000
2000,5000
5000,10000
0,0
2000,5000
0,0
2000,5000
0,0
2000,5000
0,0
2000,5000
0,2000
2000,5000
2000,5000
0,0
2000,5000
0,2000
0,0
2000,5000
0,2000
2000,5000
0,0
0,0
0,0
0,2000
0,0
2000,5000
0,0
0,0
2000,5000
0,2000
2000,5000
0,0
2000,5000
2000,5000
2000,5000
2000,5000
0,2000
5000,10000
0,2000
0,0
2000,5000
0,0
2000,5000
2000,5000
2000,5000
2000,5000
0,0
2000,5000
2000,5000
0,0
0,2000
0,0
0,0
0,0
0,2000
0,0
5000,10000
0,0
0,0
0,0
0,0
5000,10000
0,0
0,2000
2000,5000
0,2000
0,0
0,0
0,2000
0,2000
0,2000
0,2000
0,0
2000,5000
0,0
0,0
2000,5000
0,2000
0,0
2000,5000
2000,5000
0,2000
0,2000
0,2000
0,2000
2000,5000
0,0
2000,5000
2000,5000
2000,5000
0,2000
2000,5000
2000,5000
0,0
0,0
0,0
0,0
0,0
2000,5000
0,2000
0,2000
0,0
0,0
0,2000
2000,5000
2000,5000
0,2000
0,0
0,2000
0,2000
0,2000
0,0
0,2000
0,2000
2000,5000
0,0
0,0
0,0
0,0
0,2000
0,2000
0,0
5000,10000
0,2000
2000,5000
2000,5000
0,2000
0,2000
2000,5000
0,0
0,2000
0,2000
0,2000
0,2000
0,0
0,2000
0,2000
2000,5000
0,0
2000,5000
0,0
0,2000
2000,5000
5000,10000
0,0
0,2000
0,2000
0,0
0,0
0,2000
0,2000
0,0
2000,5000
0,2000
0,0
0,0
0,2000
0,0
0,2000
0,0
0,2000
0,2000
2000,5000
2000,5000
0,2000
0,0
0,0
0,0
0,0
2000,5000
0,0
0,0
0,2000
0,0
5000,10000
0,2000
0,2000
0,2000
0,0
5000,10000
0,2000
0,0
2000,5000
0,2000
0,0
0,0
2000,5000
0,2000
0,2000
0,0
0,2000
0,2000
0,2000
0,2000
0,2000
0,2000
0,0
0,2000
0,2000
0,2000
0,0
0,0
0,0
0,0
2000,5000
0,2000
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
2000,5000
2000,5000
0,0
5000,10000
2000,5000
0,2000
0,0
0,0
0,2000
0,2000
5000,10000
0,0
0,2000
5000,10000
0,0
5000,10000
0,0
0,0
0,0
0,0
0,0
0,0
2000,5000
2000,5000
0,0
2000,5000
2000,5000
0,2000
0,0
2000,5000
0,0
0,0
0,0
0,2000
0,0
0,0
0,0
0,2000
0,2000
0,0
0,0
0,0
0,2000
0,0
5000,10000
0,0
0,0
0,2000
0,2000
0,2000
0,2000
0,0
0,2000
0,2000
0,2000
0,2000
0,2000
0,0
0,0
0,0
0,2000
0,0
0,0
0,2000
0,2000
0,0
0,2000
0,2000
0,0
0,2000
0,0
0,0
0,2000
0,0
