"","column_label","trans_type","threshold_temporal","proportion_sim_temporal"
"1",1,"g1g1",257.718897247314,0.390497712069766
"2",1,"mixed",256.94272108823,0.468660804700022
"3",1,"g2g2",258.185174869746,0.140841483230212
"4",2,"g1g1",234.530210232735,0.466556510183808
"5",2,"mixed",265.952282369137,0.316770650587986
"6",2,"g2g2",302.654888772964,0.216672839228206
"7",3,"g1g1",219.789327786118,0.5395625459808
"8",3,"mixed",270.178600805998,0.170316709166218
"9",3,"g2g2",324.82486076653,0.290120744852982
"10",4,"g1g1",212.735746406019,0.58086060475806
"11",4,"mixed",272.737438410521,0.0880011854279312
"12",4,"g2g2",334.650802204013,0.331138209814008
"13",5,"g1g1",210.216393843293,0.602246179427936
"14",5,"mixed",274.451036632061,0.0447524073317011
"15",5,"g2g2",337.392679905891,0.353001413240363
"16",6,"g1g1",208.314471166581,0.613301867182762
"17",6,"mixed",277.827661383152,0.0226919355080652
"18",6,"g2g2",339.497987735271,0.364006197309173
"19",7,"g1g1",207.824023279548,0.61934213320805
"20",7,"mixed",275.159381997585,0.0114658254778347
"21",7,"g2g2",341.742482876778,0.369192041314115
"22",8,"g1g1",207.475699530123,0.621893928193053
"23",8,"mixed",274.182114675641,0.00573376837853218
"24",8,"g2g2",341.691181689501,0.372372303428415
"25",9,"g1g1",207.125919353217,0.623526043333338
"26",9,"mixed",274.566902279854,0.00283223833795472
"27",9,"g2g2",341.858488382399,0.373641718328707
"28",10,"g1g1",207.115580072254,0.623798628964203
"29",10,"mixed",277.996150100231,0.00146638610690258
"30",10,"g2g2",341.774386554956,0.374734984928895
