"","assort_vect","prop_succesful_gamma","min_chisq_gamma","mean_chisq_gamma"
"1",1,0,61.7652162652163,86.3927719231582
"2",1.1,0,60.2873363184539,83.4815677037927
"3",1.2,0,53.3851604034666,77.0533039907581
"4",1.3,0,45.9204752657842,66.7233594668392
"5",1.4,0,35.9145493004211,55.4453759181202
"6",1.5,0,26.748611549092,44.0655483852271
"7",1.6,0,17.2607386141198,33.397279317867
"8",1.7,0,10.41736372395,25.0958520129026
"9",1.8,0,6.26201582062667,17.8511441604176
"10",1.9,0.01,3.02848941965221,12.0654871280715
"11",2,0.12,1.13262609252352,7.57216108043787
"12",2.1,0.49,0.558116281338406,4.29768649387043
"13",2.2,0.84,0.125227622916375,2.30066836035748
"14",2.3,0.96,0.0474940009405643,1.52858332576283
"15",2.4,0.9,0.136700986700987,2.09069230923539
"16",2.5,0.55,0.0130710869206663,3.84954274911455
"17",2.6,0.2,0.404223589327501,6.76425826653978
"18",2.7,0.04,0.52090692356347,10.9315587763506
"19",2.8,0.01,3.48703703703704,17.1379111449176
"20",2.9,0,6.37612085769981,23.3977345087369
"21",3,0,10.184754725875,31.1939587865731
"22",3.1,0,10.7419556388629,39.7722588737689
"23",3.2,0,16.3476971116315,50.409551443912
"24",3.3,0,23.4161181870596,62.3396637503855
"25",3.4,0,29.4555870284336,73.9971127140691
"26",3.5,0,37.7535268861174,88.9960245866025
"27",3.6,0,45.8102824401955,103.408637165015
"28",3.7,0,67.4151048346989,122.929424281054
"29",3.8,0,77.195306105091,138.943815329248
"30",3.9,0,87.2853397032964,160.242275124644
"31",4,0,86.8690884820747,179.282566985393
"32",4.1,0,120.634088904067,208.427684156861
"33",4.2,0,136.230726159295,233.583126707859
"34",4.3,0,167.519514325646,264.779653199605
"35",4.4,0,173.778449472223,289.25983371584
"36",4.5,0,197.182051282051,322.883241300386
"37",4.6,0,224.744732184599,356.170482457838
"38",4.7,0,240.518861473588,394.927168970428
"39",4.8,0,269.305368316784,424.621429016616
"40",4.9,0,305.318306860521,487.982214848248
"41",5,0,346.097422073496,522.24037154709
