"assort_vect","prop_succesful","min_chisq"
1,0,96.2557586644125
1.1,0,95.4235145385588
1.2,0,92.2892208347921
1.3,0,92.4328971524197
1.4,0,89.6216259188552
1.5,0,80.0425923026269
1.6,0,82.314984972091
1.7,0,81.2917446125501
1.8,0,73.4427224427224
1.9,0,65.370319001387
2,0,66.7893698893699
2.1,0,65.70212418987
2.2,0,63.2907968842258
2.3,0,62.3941220238095
2.4,0,64.6135700126896
2.5,0,64.8901823723796
2.6,0,69.7470682298321
2.7,0,73.2790310440498
2.8,0,75.4227221526909
2.9,0,79.9042483660131
3,0,85.6547264968318
3.1,0,88.8145376497122
3.2,0,93.3416798838566
3.3,0,98.1675957207207
3.4,0,105.79
3.5,0,112.066314451111
3.6,0,122.537774655775
3.7,0,132.842803509488
3.8,0,140.690445137968
3.9,0,152.33034501372
4,0,167.677320184338
4.1,0,183.517284387439
4.2,0,197.838005050505
4.3,0,213.18457937544
4.4,0,237.107571214684
4.5,0,267.531219559712
4.6,0,288.888754939388
4.7,0,299.068350257738
4.8,0,337.258127572016
4.9,0,365.34737402111
5,0,388.441775729647
