"assort_vect","prop_succesful","min_chisq","mean_chisq"
1,0,101.619003245896,128.507511322844
1.1,0,96.6833101518973,124.806352938912
1.2,0,87.1838993270316,114.718916405721
1.3,0,70.5997924643057,95.871038146722
1.4,0,59.2518522031175,82.0934709434893
1.5,0,44.3336456651686,64.6386032960737
1.6,0,31.530621841677,49.9777593360667
1.7,0,22.0055518794535,37.6074850456765
1.8,0,13.8591872759695,27.7532894021453
1.9,0,8.29080841638981,19.6114352520472
2,0,4.44610363924051,13.6034544074689
2.1,0.17,1.6184719674902,8.40169224150952
2.2,0.4,0.298995246491204,5.41870940450576
2.3,0.58,0.140324201895348,3.99554380044662
2.4,0.58,0.117858426158821,3.73011407893356
2.5,0.39,0.121601396857072,4.69901724965514
2.6,0.19,0.845216874628639,7.11544467689506
2.7,0.1,2.69507169899477,11.0877072944102
2.8,0,4.72104686590668,16.4307169495621
2.9,0,7.60614604085908,23.2099480139615
3,0,11.9784382284382,31.4701796105817
3.1,0,17.3072237196765,41.3898940451088
3.2,0,22.9921043184458,50.5994508177464
3.3,0,29.7131909596608,62.8917203234746
3.4,0,37.348624530521,76.4500763016359
3.5,0,50.3082003816019,94.8960580218157
3.6,0,64.5370200593017,116.980087621626
3.7,0,70.9666755547312,130.47590625311
3.8,0,93.2072503419973,156.598578567648
3.9,0,97.4756241054415,173.976782405961
4,0,111.495850622407,196.482402799706
4.1,0,133.034108006018,225.357608600313
4.2,0,162.210731291376,262.005972542538
4.3,0,184.74690447242,287.722057245456
4.4,0,191.131611274904,317.220946080096
4.5,0,236.764364527173,364.712537454113
4.6,0,257.321099511541,399.59503167273
4.7,0,284.059825779727,431.473790796182
4.8,0,325.296597469798,489.233803376122
4.9,0,307.517702301568,505.676589282731
5,0,390.628466128466,593.926365909529
