"assort_vect","prop_succesful_gamma","min_chisq_gamma"
1,0,788.080915640678
1.1,0,770.411633838693
1.2,0,827.391033693441
1.3,0,988.291105348469
1.4,0,1165.0059846519
1.5,0,1374.50256437807
1.6,0,1615.32942032335
1.7,0,1860.55690876196
1.8,0,2094.95248233709
1.9,0,2394.15784693225
2,0,2736.01482863466
2.1,0,3089.58393421998
2.2,0,3455.8928161567
2.3,0,3788.94785922388
2.4,0,4182.46589806386
2.5,0,4565.77090154472
2.6,0,4985.0981145517
2.7,0,5466.13429137717
2.8,0,5941.34750263735
2.9,0,6496.4121875351
3,0,6984.72528918578
3.1,0,7556.81522039553
3.2,0,8076.98457135853
3.3,0,8684.93014248646
3.4,0,9385.48624138861
3.5,0,10367.3841255285
3.6,0,11068.8894197938
3.7,0,11794.6215607795
3.8,0,13086.9179741029
3.9,0,14246.2560566375
4,0,15403.7775407881
4.1,0,16626.7003506671
4.2,0,17800.8727524154
4.3,0,19104.5260418394
4.4,0,20556.5042030437
4.5,0,22121.2902967452
4.6,0,23507.7786645036
4.7,0,25686.1060522511
4.8,0,27280.4366492964
4.9,0,29384.4471271736
5,0,32344.7375717521
